Ajan,Ort.Ödül,Std,Etkisizleştirme,Sızıntı,Dost Ateşi
Rastgele,-28.332123533734602,23.987904733062162,556,0,2939
AHP,3.6915171092221932,2.7936803328958733,556,0,0
PPO,0.3211020642617413,3.172436007762641,401,155,0
DQN,-3.000008948036756,3.4881543000371202,173,383,0
